Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
NO2,2.0,46.143234,-0.395913,Zoodyssée Chizé,ZR NOUVELLE-AQUITAINE,2020
NO2,8.0,46.320028,-0.482861,Niort Venise,ZAR NIORT,2020
NO2,22.0,46.321976,-0.4664312,Niort Trafic 6,ZAR NIORT,2020
NO2,29.0,46.591231,0.34039,Poitiers-Le Nain,ZAR POITIERS,2020
NO2,14.0,46.583998,0.345582,Poitiers Centre  Augouard,ZAR POITIERS,2020
NO2,12.0,51.01943,2.25099,Mardyck,ZAR COTE-D-OPALE,2020
NO2,14.0,51.032761,2.332358,St Pol mer - cheminots,ZAR COTE-D-OPALE,2020
NO2,10.0,50.94989,1.76917,Sangatte,ZAR COTE-D-OPALE,2020
NO2,12.0,50.9578,1.89008,Calais Parmentier,ZAR COTE-D-OPALE,2020
NO2,10.0,50.99594,2.36627,Cappelle la Grande,ZAR COTE-D-OPALE,2020
NO2,8.0,50.69435,1.57657,Outreau,ZAR COTE-D-OPALE,2020
NO2,14.0,51.02446,2.30215,Grande-synthe,ZAR COTE-D-OPALE,2020
NO2,11.0,50.74823,2.25978,St Omer Ribot,ZAR COTE-D-OPALE,2020
NO2,19.0,50.6407944,3.074772,Lille Leeds,ZAG LILLE,2020
NO2,17.0,50.62805,3.09031,Lille Fives,ZAG LILLE,2020
NO2,12.0,50.775482,3.12568,Halluin stade,ZAG LILLE,2020
NO2,23.0,50.706535,3.18066,Roubaix Serres,ZAG LILLE,2020
NO2,14.0,43.575694,1.418064,ECOLE M.JACQUIER,ZAG TOULOUSE,2020
NO2,1.0,43.6287,0.179069,PEYRUSSE,ZR OCCITANIE,2020
NO2,15.0,43.623606,1.438531,Toulouse Mazades,ZAG TOULOUSE,2020
NO2,12.0,43.927769,2.145897,ALBI DELMAS,ZR OCCITANIE,2020
NO2,14.0,43.587344,1.444003,Toulouse Berthelot,ZAG TOULOUSE,2020
NO2,10.0,43.096247,-0.040497,LOURDES LAPACCA,ZR OCCITANIE,2020
