Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
PM10,15.0,43.096247,-0.040497,LOURDES LAPACCA,ZR OCCITANIE,2022
PM10,17.0,43.633478,1.375717,Toulouse aéroport côté trafic,ZAG TOULOUSE,2022
PM10,15.0,43.803139,1.595475,BESSIERES ECONOTRE,ZR OCCITANIE,2022
PM10,17.0,43.230297,0.062339,Tarbes lycée Dupuy,ZR OCCITANIE,2022
PM10,14.0,43.610497,2.23015,Stade Travet CASTRES,ZR OCCITANIE,2022
PM10,20.0,43.643944,1.468244,TRAFIC_TOULOUSE,ZAG TOULOUSE,2022
PM10,23.0,43.610386,1.4152,Toulouse Port de l'Embouchure,ZAG TOULOUSE,2022
PM10,13.0,44.35699225,2.57070422,Rodez,ZR OCCITANIE,2022
PM10,12.0,49.90778,4.63,REVIN,ZR GRAND-EST,2022
PM10,17.0,49.28222,4.051111,BETHENY,ZAR REIMS,2022
PM10,24.0,49.250732,4.023064,DOUMER,ZAR REIMS,2022
PM10,20.0,49.224167,4.020556,Jean d Aulan,ZAR REIMS,2022
PM10,17.0,48.962223,4.36,CHALONS,ZR GRAND-EST,2022
PM10,20.0,49.0461,3.955911,Rempart Perrier,ZR GRAND-EST,2022
PM10,16.0,48.301666,4.076944,Troyes La Tour ,ZR GRAND-EST,2022
PM10,16.0,48.295002,4.050278,STE SAVINE,ZR GRAND-EST,2022
PM10,15.0,48.645836,4.966111,St DIZIER L. Michel,ZR GRAND-EST,2022
PM10,20.0,49.745277,4.719167,CHARLEVILLE,ZR GRAND-EST,2022
PM10,15.0,45.360176,5.589419,Voiron Urbain,ZAG GRENOBLE,2022
PM10,20.0,45.1828,5.7531,St Martin d'Heres,ZAG GRENOBLE,2022
PM10,19.0,45.1619,5.7356,Grenoble Les Frenes,ZAG GRENOBLE,2022
PM10,14.0,45.0578,5.6767,Grenoble PeriurbSud,ZAG GRENOBLE,2022
PM10,22.0,45.18069,5.720625,Grenoble Boulevards,ZAG GRENOBLE,2022
PM10,17.0,45.2797,5.8822,Gresivaudan Periurb,ZAG GRENOBLE,2022
PM10,26.0,45.15467,5.74523,Rocade Sud Eybens,ZAG GRENOBLE,2022
PM10,20.0,48.610363,7.781631,Strasbourg Nord,ZAG STRASBOURG,2022
PM10,21.0,48.59043,7.744983,Strasbourg Clemenceau,ZAG STRASBOURG,2022
PM10,23.0,48.575985,7.727478,Strasbourg A35,ZAG STRASBOURG,2022
PM10,16.0,48.0744444,7.3505555,Colmar Centre,ZR GRAND-EST,2022
PM10,15.0,47.757435,7.347294,Mulhouse Nord,ZR GRAND-EST,2022
PM10,16.0,47.594913,7.568175,C.C.3 Frontières,ZR GRAND-EST,2022
PM10,18.0,47.737415,7.309075,Mulhouse Sud 2,ZR GRAND-EST,2022
PM10,19.0,47.747684,7.321364,Mulhouse-Briand,ZR GRAND-EST,2022
PM10,24.0,48.588056,7.729722,Strasbourg A35 Remparts,ZAG STRASBOURG,2022
PM10,9.0,48.492992,7.1298,Donon Vosges Moyennes 2,ZR GRAND-EST,2022
PM10,21.0,49.276386,2.482167,Nogent sur Oise,ZAR CREIL,2022
PM10,16.0,49.86889,2.239806,Salouel,ZAR AMIENS,2022
PM10,21.0,50.129448,1.610833,Arrest,ZR HAUTS-DE-FRANCE,2022
PM10,14.0,49.851334,3.284,P. Roth St Quentin,ZR HAUTS-DE-FRANCE,2022
PM10,16.0,49.259552,2.474397,Faiencerie Creil,ZAR CREIL,2022
PM10,16.0,49.901667,2.304597,St Pierre Amiens,ZAR AMIENS,2022
PM10,16.0,49.174931,3.260819,Neuilly-Saint-Front,ZR HAUTS-DE-FRANCE,2022
PM10,18.0,49.435932,2.084292,Trafic Beauvais 1,ZR HAUTS-DE-FRANCE,2022
PM10,16.0,48.10861,-1.66586,Rennes Laennec,ZAG RENNES,2022
PM10,19.0,48.38618,-4.4866,Brest Mace,ZAR BREST,2022
PM10,22.0,48.39746,-4.48871,Brest Desmoulins,ZAR BREST,2022
PM10,16.0,48.08965,-1.65911,Rennes Pays-Bas,ZAG RENNES,2022
PM10,12.0,48.261963,-2.943631,Kergoff,ZR BRETAGNE,2022
PM10,16.0,47.7425,-3.39501,Lorient B. Bissonnet,ZR BRETAGNE,2022
PM10,14.0,47.64892,-2.76399,Vannes UTA,ZR BRETAGNE,2022
PM10,20.0,47.758947,-3.36938,Lorient Normandie,ZR BRETAGNE,2022
PM10,15.0,48.11521,-1.673088,Rennes Thabor,ZAG RENNES,2022
PM10,19.0,47.99612,-4.09972,Quimper Pommiers,ZR BRETAGNE,2022
PM10,16.0,48.51351,-2.74953,Saint Brieuc Balzac,ZR BRETAGNE,2022
PM10,23.0,48.65306,-2.00268,StMalo Rocabey,ZR BRETAGNE,2022
PM10,26.0,45.720024,4.818156,A7 SUD LYONNAIS,ZAG LYON,2022
PM10,18.0,45.73529,4.829794,GERLAND,ZAG LYON,2022
PM10,23.0,45.75836,4.886214,GRANDCLEMENT,ZAG LYON,2022
PM10,19.0,45.6639,4.8459,FEYZIN STADE,ZAG LYON,2022
PM10,19.0,45.7078,4.8644,ST FONS CENTRE,ZAG LYON,2022
PM10,19.0,45.6019,4.8022,TERNAY,ZAG LYON,2022
PM10,21.0,45.7789,4.9247,VAULX EN VELIN,ZAG LYON,2022
PM10,14.0,45.823223,4.953958,COTIERE AIN,ZAG LYON,2022
PM10,16.0,45.7533,5.0722,SAINT EXUPERY,ZAG LYON,2022
PM10,19.0,45.757732,4.854214,LYON Centre,ZAG LYON,2022
PM10,22.0,45.77482,4.898572,Lyon Périphérique,ZAG LYON,2022
PM10,16.0,45.7496944,4.84438888888888,LYON TRAFIC JAURES,ZAG LYON,2022
PM10,17.0,45.990112,4.715566,Villefranche Centre ,ZAG LYON,2022
PM10,14.0,49.19222,-0.391111,Caen Chemin-Vert,ZAR CAEN,2022
PM10,24.0,49.17508,-0.353563,Caen Vaucelles,ZAR CAEN,2022
PM10,18.0,49.15167,-0.352778,IFS Caen sud,ZAR CAEN,2022
PM10,14.0,49.147224,0.227222,Lisieux,ZR NORMANDIE,2022
PM10,13.0,48.445553,0.110833,Alençon Météo-France,ZR NORMANDIE,2022
PM10,20.0,49.64695,-1.59342,Cherbourg port charb,ZR NORMANDIE,2022
PM10,16.0,49.64225,-1.624361,Cherbourg Hotel de Ville,ZR NORMANDIE,2022
PM10,15.0,49.11639,-1.084722,Saint-Lô Eglise,ZR NORMANDIE,2022
PM10,11.0,48.645,-0.458333,La Coulonche MERA,ZR NORMANDIE,2022
PM10,16.0,49.117196,-0.169666,Moult proximité,ZR NORMANDIE,2022
PM10,14.0,49.165726,6.716886,Ecole de Carling(9),ZR GRAND-EST,2022
PM10,16.0,49.220364,6.925833,SCHOENECK (19),ZR GRAND-EST,2022
PM10,13.0,49.18742,6.910867,Station de FORBACH,ZR GRAND-EST,2022
PM10,18.0,47.322706,-2.039244,LA MEGRETAIS,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,16.0,47.24747,-1.936619,FROSSAY,ZR PAYS-DE-LA-LOIRE,2022
PM10,14.0,47.28318,-1.783164,S ETIENNE DE MONTLUC,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,17.0,47.054443,-0.886111,SAINT EXUPERY,ZR PAYS-DE-LA-LOIRE,2022
PM10,15.0,47.252777,-1.573333,LA CHAUVINIERE,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,16.0,47.26412,-2.249858,LEON BLUM,ZAG NANTES-SAINT-NAZAIRE,2022
